forest_type,mean_biomass,median_biomass,mean_severity,median_severity,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
2,54.77777777777778,60,-3636.9174126519097,-3564.0992431640625,21.75,79.5,1209.1492063492065,-0.04870934921337895,-1.1834338185429467,0.09555012877784273,36,17
3,60.25,68.5,-3617.7676635742187,-3627.727783203125,27.75,80.75,959.6282051282051,-0.24579010086719935,-1.0525643522589885,0.018961869059875715,40,17
1,54.04255319148936,53,-3514.5165158535574,-3682.08984375,40,70,464.91119333950047,0.07139323451427598,-0.3302993711089619,0.8461426588982928,47,17
2,34.75390625,33,-2603.1378293037415,-2553.611083984375,20.75,51,341.4803768382353,0.025291093146804174,-1.0187353938675938,1.8041759416730088e-5,256,18
1,21.654347826086955,20.5,-2371.351759935462,-2319.6734619140625,13,29,131.84322724258786,0.4048965024778528,-0.3190293935128329,2.8851851389201404e-5,460,18
3,23.243243243243242,20,-2751.1483643677857,-2709.323486328125,10,33,257.2889812889813,0.9782010697774057,0.6729157791863333,2.8452941887412115e-11,222,18
1,17.804597701149426,16,-2175.134653844139,-2116.330078125,10,24,109.10185981865114,0.7323972452453552,0.3114360580198922,1.203971699905223e-12,522,19
3,20.404255319148938,18,-2361.8648595065933,-2392.638427734375,4,34,330.17112462006077,0.8375019534839544,0.35039214818183717,2.931612895787259e-11,141,19
2,25.04375,26,-2247.110051727295,-2193.9906005859375,20,31,140.4068789308176,0.6188615189895985,3.9796570294321505,5.8261211261888114e-8,160,19
1,42.983050847457626,48,-2891.7788592839647,-2697.126220703125,23,60,455.7954561846376,-0.18977553791691412,-1.0580457006659167,1.5734515581808192e-9,236,20
3,20.555555555555557,12,-2183.294043270158,-2103.258056640625,5,22,491.05,1.280908562332886,0.08603479633979068,9.460142852594244e-21,81,20
2,10.106666666666667,9,-2243.3880240885414,-2092.401611328125,4,13,75.82447837150127,3.2441623732903286,16.738382560961107,3.7e-24,525,20
