forest_type,severity_bin,mean_biomass,median_biomass,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
2,9,28.5,24,18.75,29.25,359.7142857142857,2.2654818149130374,5.747503881505109,0.006673239254107782,8,7
3,NA,NA,26,25.5,26.5,NA,NA,NA,NA,2,7
3,6,18.318471337579616,10,5,24,440.15433610975015,1.8292333436042012,2.9500847049341163,3.7e-24,157,7
2,6,6.3559322033898304,5,3.5,8,14.095265926358854,1.3629184556080485,1.6004890924769553,1.1601528813602903e-6,59,7
1,10-11,36.72727272727273,24,18.5,49.5,767.6181818181818,1.609872595871372,2.2968075965222443,0.011634675956044753,11,7
3,10-11,NA,40,33,47,NA,NA,NA,NA,2,7
1,1-5,39.741379310344826,33,22.25,52.75,593.8793103448276,0.9050844642525846,0.15981412410457738,0.0014813551321579599,58,8
3,8,50,38,22.5,77.5,1176.3333333333333,0.3597720482843262,-1.8155398804272516,NA,7,8
3,6,NA,86,75,97,NA,NA,NA,NA,2,8
3,1-5,55,51,41,71,407,0.12276340291729301,-1.5553477533821514,NA,7,8
1,8,20.04,18,9,24,345.37333333333333,2.2380292050410886,6.783094659666274,0.0016163944390405428,25,8
1,7,12.833333333333334,8.5,4.75,17.5,114.84057971014492,1.19447802123378,0.6789940306668567,0.0025713045253636657,24,8
1,6,22.9375,18,12.75,28.75,247.2625,1.1999384819230001,0.6377044541996414,0.026751210121063438,16,8
3,9,NA,57.5,55.75,59.25,NA,NA,NA,NA,2,8
1,9,22.866666666666667,18,17,28,192.83809523809524,1.2648835886230505,2.349027598309186,0.015207691803850025,15,8
3,7,12.7,4,3,10.25,346.4555555555556,1.917995104433952,2.805435833411452,1.64132774122562e-4,10,8
2,7,13.288237655560016,11,7,17,85.1361627965092,1.6944250773169038,3.784360881677151,3.7e-24,2491,9
2,8,11.929878907350043,10,6,15,70.50803939378315,2.089704044499785,8.360434504135458,3.7e-24,3551,9
2,9,11.638190954773869,9,6,15,91.37640807267938,3.212704230821484,20.40965792543756,3.7e-24,2786,9
2,10-11,10.355432780847146,9,5,13,64.87158943412639,2.750961773334617,13.400690869261123,3.7e-24,543,9
2,1-5,8.066298342541437,6,4,10,49.38446899938613,5.77589104855334,54.019649528769236,6.884547156166762e-24,181,9
1,1-5,6.666666666666667,5.5,2.75,9,24.492753623188406,1.3586632118760802,1.904828671556027,0.014363173141687294,24,9
2,6,11.699771689497718,11,7,15,47.58861709067189,1.5140664240892527,4.9030995945079265,3.7e-24,876,9
1,7,13.777777777777779,7,3,17,272.1830065359477,1.8746026810689138,3.4711437477083087,4.561721973743957e-4,18,9
1,6,6.409090909090909,5.5,3.25,8.5,21.681818181818183,1.9117508659967073,5.060769231201362,0.009496197454172028,22,9
3,7,13.333333333333334,11,7,17,107.71091445427729,1.955013630272306,4.509543565022902,3.3137120982866495e-14,114,9
3,1-5,6.894736842105263,5,3.5,10,21.432748538011698,0.9610905148269877,0.8828207144079431,0.13769356972633798,19,9
3,6,9.981818181818182,6,3,15,94.94410774410774,2.135936268387417,5.385882619938009,1.0402838388718013e-9,55,9
3,8,13.532663316582914,11,7,17,95.97746307294047,2.0421295664028123,5.790226627372917,2.3105995394663464e-18,199,9
3,9,18.496815286624205,16,10,23,179.22595133104687,1.6772743203727667,3.533764578208949,6.181113623618954e-14,157,9
2,NA,17.428571428571427,18,11,24,57.95238095238095,-0.08917825513241612,-1.986423908353921,NA,7,9
3,10-11,15.857142857142858,15,11,19,57.476190476190474,0.6537250860676718,0.32349694443281296,NA,7,9
1,8,10.46938775510204,9,4,13,68.5875850340136,2.5317757623140587,9.986627869151382,2.159641461702665e-5,49,9
3,NA,NA,25.5,23.25,27.75,NA,NA,NA,NA,2,9
1,9,15.160714285714286,12.5,7,19.5,104.50097402597403,1.0277326437947398,0.2736380572295352,4.071889057045856e-5,56,9
1,10-11,NA,24.5,24.25,24.75,NA,NA,NA,NA,2,9
2,9,31.0480109739369,25,12,47,514.231454184692,0.8105618545338178,-0.1360874205857353,3.7e-24,2187,10
2,10-11,18.070539419087137,14,9,23,165.090836791148,1.6110203805698229,3.0092363657736425,5.923106471376451e-22,241,10
2,8,28.04507628294036,23,12,41,390.38866762082506,0.8127887813175785,-0.03682344332835733,3.7e-24,1442,10
2,7,19.674259681093393,20,9,28,158.60369665387296,0.5875402172903386,0.4017968855419218,2.9697577274520374e-8,439,10
3,8,33.397590361445786,26,15.5,48,518.9741404642962,0.7743372346601599,-0.4274003389749,8.985318851377771e-7,83,10
3,7,32.61904761904762,33.5,14.75,44.75,376.92450638792104,0.5906766760635799,0.2177027930453539,0.26934259463569515,42,10
3,10-11,17,15,10,17,120.4,2.1148845833832133,5.098899754601679,0.007210462387103003,11,10
3,9,21.151898734177216,17,12,24.5,246.66893865628043,1.8789717231059575,3.539025791540529,3.670504018892613e-12,79,10
2,6,18.11764705882353,14.5,7,27,192.43371378402108,1.258148198767954,2.177073706407345,2.24517005151937e-4,68,10
2,NA,27.583333333333332,22.5,16,43,286.6287878787879,0.4839862105686512,-0.9432119968796785,0.30240200310555476,12,10
3,NA,NA,26,22,30,NA,NA,NA,NA,2,10
3,1-5,15.423076923076923,10.5,5,19.75,222.65384615384616,1.7151002617902524,3.3102811762959212,8.80763715522707e-4,26,10
2,1-5,10.513513513513514,10,5,13,58.590090090090094,1.110545936604326,1.0429944740480475,0.008040298971192083,37,10
3,6,20.363636363636363,18.5,6.25,29.75,282.71861471861473,1.1337010675675905,1.7821803357387918,0.11617465568817947,22,10
1,1-5,26,20,11,33,343.5,0.9633247897735145,0.28635718508146535,0.4236799561033112,9,10
1,6,32.7,32,20.75,44,268.23333333333335,-0.005375878936552715,-1.0967375771004209,0.8342694729974656,10,10
1,9,26,17,12,35,376,1.0877242278531065,0.32044507453275545,0.022174486260286844,17,10
1,7,57.111111111111114,61,43.5,72,518.7948717948718,-0.45778911918796217,0.286014968468135,0.4971401050275382,27,10
1,8,54.81481481481482,61,38.5,70,562.925925925926,-0.34342180536036915,-0.5314283007790521,0.32414674808025123,27,10
1,10-11,24,24,23.5,24.5,2.6666666666666665,0,1.5,NA,4,10
1,8,28.16312849162011,23,14,37,383.50579780785625,1.365047365601236,1.8829368005127574,3.7e-24,895,11
1,7,34.741843971631205,30,17,48,547.0667835267569,1.105158198215353,1.3932086766547513,3.7e-24,705,11
1,9,27.081632653061224,23,13,37,322.7912730309515,1.0359569626415097,1.019619217375864,9.964719288452719e-17,392,11
1,10-11,30.5,24,14.75,32.75,704.0555555555555,1.5103446911689271,2.0063630052101327,0.051047880603919564,10,11
3,9,36.33587786259542,36,26.5,47,197.33247210804464,0.29001122573887356,0.04540872951449249,0.40822694786507674,131,11
3,8,29.805309734513273,29,22,37,197.64032869785083,0.5834664058691524,0.6267123018717909,0.012409576237613901,113,11
1,NA,43.2,29,25,67,780.2,0.5802521839061291,-2.5351885597662913,NA,5,11
1,6,39.35909090909091,36,17,56.5,633.6649854711499,0.5847534681248142,-0.4774031070463535,4.282899877633164e-8,220,11
3,7,23.602564102564102,20,13,32.75,182.06077256077256,0.6449268914127285,-0.5580454408370207,2.982032050484264e-4,78,11
2,9,35.08695652173913,35.5,24.5,46,171.4429049211658,-0.06992690907108098,-1.017215195786845,0.026351314017088977,92,11
2,8,27.57894736842105,25.5,20.75,35.25,127.84701754385965,0.43141177908592765,-0.4499307581912913,0.014113136373516955,76,11
2,10-11,14.5,13,7.5,20,126.33333333333333,0.6464958603245675,-0.41545241261199806,NA,4,11
2,7,11.181818181818182,10,7,14.5,20.963636363636365,0.3229065486765294,-1.3750044819414735,0.20491314803768435,11,11
3,NA,NA,39,39,39,NA,NA,NA,NA,1,11
3,10-11,40,43,32.5,49,279,-0.7821521217295034,NA,NA,3,11
1,1-5,38.29032258064516,28,17,61.5,703.2129032258065,0.5778791420809294,-0.9900875033743064,0.002610955101910404,31,11
3,6,14.923076923076923,15,12,18.5,31.125506072874494,0.10062843739506012,-0.46343869751675265,0.821248430821313,39,11
3,1-5,17.545454545454547,15,13.5,21.5,38.472727272727276,0.6139275842735928,-0.7227068972499858,0.3216468640889062,11,11
2,6,29.333333333333332,29,28.5,30,2.3333333333333335,0.9352195295828312,NA,NA,3,11
1,7,29.75673707210488,24,15,37,442.27605698402556,1.3875802816968008,1.5906258745852788,3.7e-24,1373,12
1,8,28.651066042641705,25,14,38,359.22937841551123,1.1036453627154175,1.103491428469574,3.7e-24,1923,12
1,9,25.611590628853268,21,12,36,288.1933963556652,1.07031708625286,1.1583675110832128,3.7e-24,811,12
3,8,20.927083333333332,19,11,28,141.81696428571428,0.7477377055868231,0.30691369703861276,6.448456366767647e-8,288,12
3,9,19.42331288343558,16,10.5,26,148.7764901916231,1.418817331267337,2.6682430420145438,2.219426298461552e-11,163,12
1,6,22.482701812191102,19,13,29,201.53724153304952,1.4450643929770277,3.092088527696185,3.7e-24,607,12
2,9,25.612903225806452,23.5,17,35,124.43786356425171,0.046185257559803,-0.9453594034459223,0.034951866167767943,62,12
2,8,22.933333333333334,23,12.5,33.75,128.40919540229885,-0.0982921063505569,-1.2766236115413694,0.14268333479777431,30,12
1,10-11,19.833333333333332,14.5,9.25,25.75,230.14069264069263,1.3840934358204244,1.3394007971445319,1.6948777618449169e-10,78,12
3,7,22.749003984063744,22,13.5,29,155.26074900398407,1.21310368344854,3.215770752890343,6.6296997459158955e-6,251,12
3,10-11,17.083333333333332,12.5,7.75,27,153.71969696969697,0.9209953727266672,-0.5998844475393502,0.023981505467891153,12,12
1,1-5,25.85209003215434,25,15.5,34,167.71353594025516,0.4822355362577611,-0.3269461221238672,6.433284064759471e-5,311,12
3,6,20.87772925764192,19,12,28,135.82708955795601,0.9698168024904105,0.653067362781224,1.192768032406531e-10,229,12
3,1-5,20.865384615384617,19,13.75,25,128.27564102564102,1.3007422459865288,1.910653889154412,9.943351115686196e-5,52,12
1,NA,23.466666666666665,24,9.5,31,263.26666666666665,1.124414898055631,2.190874585377336,0.2350206760387955,15,12
2,7,18.64,16,13,24,67.40666666666667,0.521408283105428,-0.25353017719805054,0.1171091286889699,25,12
2,10-11,NA,14,14,14,NA,NA,NA,NA,1,12
3,NA,NA,12,12,12,NA,NA,NA,NA,1,12
2,1-5,NA,17.5,16.75,18.25,NA,NA,NA,NA,2,12
2,6,18.666666666666668,20,16,22,37.333333333333336,-0.9352195295828265,NA,NA,3,12
1,9,30.551357733175916,27,16,41,401.7015554829868,1.1462748700931904,1.7925460876063952,3.7e-24,847,13
1,8,31.692379182156134,27,13,46,525.0257345507147,0.877045281614433,0.3204028406365316,3.7e-24,2152,13
1,7,28.24831020988972,21,10,41,509.2315585314936,1.0812466715550415,0.7201339212834895,3.7e-24,2811,13
1,6,22.86248331108144,18,9.25,31,324.9804085251054,1.737397411295373,5.019233932697926,3.7e-24,1498,13
1,1-5,22.214848143982003,19,9,32,264.826536041103,0.9538371370860226,0.7827230272830291,3.7e-24,889,13
3,8,21.760914760914762,16,6,29,432.54480249480247,1.531541321299704,2.0517914786152645,3.7e-24,481,13
1,NA,28.818181818181817,26,14.5,42,286.56363636363636,0.3892952439600761,-1.3536955835047615,0.36689415040346335,11,13
3,6,15.901408450704226,12,7,23,152.8534414031358,1.4228928986588127,2.5496730482082492,1.5672421112344938e-18,213,13
3,1-5,25.546666666666667,24,10.5,38,288.6025225225225,0.3729993207823184,-0.8465651885830758,0.013079429300546635,75,13
3,7,18.837264150943398,11,5,28,359.1294828047638,2.016668558638178,6.568257791129579,3.7e-24,424,13
3,NA,NA,29,20,38,NA,NA,NA,NA,2,13
1,10-11,18.58823529411765,17,10,24,115.25735294117646,0.6195136172297373,-0.37123563288386313,0.5169300205507024,17,13
3,9,28.325,23,14,39,489.2270440251572,1.9634443159390014,5.347424273678585,4.175593962853175e-15,160,13
3,10-11,29,26,18,39,323.6666666666667,0.25533220141711366,-0.6058024629815634,NA,7,13
2,8,18.664473684210527,12.5,6,28.5,287.27078250261417,1.6379673016897536,3.3481690711314522,9.074454509799844e-15,152,13
2,6,17.735294117647058,9.5,5,22.5,327.4732620320856,1.364715390445823,0.9534424523603222,6.033066238369103e-6,34,13
2,1-5,12.333333333333334,11,9,15,37.333333333333336,0.9352195295828233,NA,NA,3,13
2,7,19.503875968992247,9,4,31,404.0175629844961,1.1697125848403145,0.26471788156805603,5.450731665565964e-22,129,13
2,9,23.73170731707317,21,16,32,185.55121951219513,0.6653852633190303,0.9086751612908717,0.30220906380434664,41,13
2,1-5,19.696136997212268,9,4,21,836.9343237166825,2.8756989189182116,8.905397038000219,3.7e-24,2511,14
3,1-5,14.522727272727273,7,4,13.25,428.0223802914643,2.8595775933299596,8.82911845517745,3.7e-24,132,14
2,7,30.09084249084249,15,7,39,1264.1588970169614,1.95459003054182,3.7036985612749356,3.7e-24,1365,14
3,6,18.691176470588236,8.5,3.75,17.25,808.1270851624232,2.9851638567642715,9.44288997005425,1.2666136367401336e-22,68,14
2,6,19.882111436950147,10,5,23,695.6533476518938,2.937809842947463,10.38567272727948,3.7e-24,1705,14
1,1-5,13.5,5,3,10,397.7906976744186,2.320344223095052,5.3962830872716765,8.295130911457418e-16,44,14
2,9,49.36624203821656,39,13,80,1688.0538506079906,0.6950620400914148,-0.5418857803592967,3.7e-24,628,14
2,8,37.43536121673004,23,8,60,1345.8255038655925,1.1991944926183475,0.6691942858411525,3.7e-24,1052,14
3,7,17.638297872340427,7.5,4,13.75,1058.7709906199955,3.6052083193244413,13.09450976008383,3.7e-24,94,14
1,6,11.052631578947368,6,4,10,219.72688477951635,2.5698587095713155,5.897049459238932,6.4700836219808074e-15,38,14
1,7,10.805555555555555,5,2.75,11,205.81825396825397,2.2445600185124728,4.401002748742263,2.804959756366241e-12,36,14
2,10-11,26.694915254237287,17,9.5,37.5,688.2846288720046,1.8480801424716566,3.6684863703323316,1.2725878682087355e-8,59,14
3,8,13.826086956521738,10,6,19,139.99872122762147,2.185653110104565,6.023495426001141,2.6578311462249835e-9,69,14
2,NA,45.714285714285715,42,19,55.5,1675.904761904762,1.2183331800886772,2.133304888289188,NA,7,14
1,8,17.13157894736842,12,6,22.25,229.79302987197724,1.3236274737771936,0.8377479410657285,4.033157062317125e-6,38,14
3,9,15.704545454545455,12,5.75,19,207.18974630021143,1.864411367114038,3.5046265238021683,1.9878882529811382e-7,44,14
1,9,21.19047619047619,17,10,27,285.26190476190476,1.3204203424676493,0.9194704174888634,0.0024039212870213,21,14
3,NA,NA,32,32,32,NA,NA,NA,NA,1,14
1,10-11,16.5,12.5,8.5,20.5,151,1.4658970912963931,1.864567343537563,NA,4,14
3,10-11,12.571428571428571,10,8.5,16,35.95238095238095,0.9924446754239268,-0.8672324898030792,NA,7,14
1,8,42.59701492537314,41,28.5,52.5,496.66847580280415,1.0783434097168043,2.4114961463598976,0.03256166189000705,67,15
2,7,87.85483870967742,114.5,28.5,133,2768.363973274872,-0.540322538897825,-1.3883041050869758,3.7e-24,310,15
2,8,106.82893539581438,116,98,130,1294.8541346579354,-1.4760657006796098,1.5488901840597868,3.7e-24,1099,15
2,9,96.82578397212544,106,83,121,1246.627753018394,-0.9716932316599866,0.2907002498288702,3.7e-24,861,15
2,1-5,14.92134831460674,8,5,21,264.73237997957096,2.033669215553849,4.154150965655855,3.9095390813541886e-17,89,15
1,9,43.2112676056338,41,27.5,56,526.7975855130785,0.6263080052759139,0.5075296223037945,0.30495534677792857,71,15
2,6,16.956989247311828,9,5,18,455.84595605423095,2.823379577073215,9.919577011838626,5.603697887821428e-24,93,15
3,7,38.125,33.5,9.25,66.25,763.5833333333334,0.055560313649552426,-1.68972216459382,0.0510549215474224,16,15
3,8,30.076923076923077,19,6,49,912.5991902834008,1.1203531079009679,0.5405527831794762,3.647286580052453e-5,39,15
3,9,33.89655172413793,27,10,48,970.0246305418719,1.2226503724961117,1.1769708331658124,0.007043175424246502,29,15
3,6,25.176470588235293,13,7,31,666.1544117647059,1.516174955643113,1.9649741624930428,0.004140371970652309,17,15
3,1-5,NA,4,4,4,NA,NA,NA,NA,2,15
2,NA,103.41666666666667,106.5,85.75,124.75,1062.2651515151515,-0.7562554570251964,0.6102535718063931,0.6414936189913107,12,15
2,10-11,47,32.5,25,53.25,1109.090909090909,1.3661823030621776,0.9869780300994354,4.739326675879196e-6,34,15
3,NA,NA,16,16,16,NA,NA,NA,NA,1,15
1,10-11,NA,31,22.5,39.5,NA,NA,NA,NA,2,15
3,10-11,NA,5,5,5,NA,NA,NA,NA,1,15
1,NA,NA,38.5,28.75,48.25,NA,NA,NA,NA,2,15
1,7,55.319526627218934,52,38,67,564.5044378698225,0.6476766890696859,0.299831072307225,2.105068521966055e-5,169,15
1,6,65.21487603305785,57,46,80,700.194300606975,0.7298744023191234,-0.25137016782906685,1.4973721920866072e-17,242,15
1,1-5,92.64347826086957,100,69,122.5,1459.1086193745232,-0.5786887869564445,-0.7951017571164235,5.869543160068597e-7,115,15
3,6,36.10087719298246,37,20.75,49,455.6770036324291,0.2795597998790523,-0.3170928801029118,1.0417473766110772e-4,228,16
1,1-5,47.27871939736347,40,31.5,55,550.4240557154533,1.4504941872412034,2.1238464756545423,3.7e-24,531,16
3,1-5,63.556338028169016,66,46.25,78.75,379.7237538707422,-0.040226413976053595,-0.7135687163845598,0.017030248739631316,142,16
1,6,48.13461538461539,42,30,63,804.0849159334437,0.9424112810198383,0.5779325581967719,3.7e-24,884,16
1,8,47.7135761589404,44,25,61,1108.2743759129298,1.2027805713915394,1.8568153981057376,3.7e-24,604,16
1,7,40.462513199577614,35,8,62,1171.976130252204,0.8090156961652126,-0.042378309727086276,3.7e-24,947,16
1,9,40.03807106598985,36,21,52.75,638.0265367277613,1.2908966011869498,2.8666285360049444,1.2389620931531546e-13,394,16
3,8,29.176470588235293,28,6,50,531.040189989039,0.30362102084773984,-1.302638191264437,3.7e-24,323,16
2,8,24.766666666666666,12.5,4,43,581.1921348314606,0.883011913258131,-0.38183299582880176,4.0525873573757826e-14,90,16
2,9,32.3125,28,11.25,44.5,532.0282258064516,0.5054365944762965,-0.6830401935931266,0.06765557891157528,32,16
2,6,47.375,53,41,59.25,600.2063492063492,-0.6016645508427196,-0.08270968245321374,5.102152709949286e-7,64,16
3,7,16.78997613365155,7,4,25.5,391.34812894679743,1.5613317088359928,1.4671459963774067,3.7e-24,419,16
2,1-5,57.87323943661972,59,46,69.5,193.62655935613682,0.15943916095334792,-1.0666892065348323,0.027304751395739037,71,16
3,9,39.039370078740156,38,23.5,52,459.06986626671664,0.32457070181904696,-0.30075316754767273,0.1275684620820633,127,16
2,7,15.560975609756097,4,3,11.5,430.1991203518593,1.3562847000647578,0.15783263831070513,3.7e-24,123,16
3,10-11,36.333333333333336,39,37.25,41.5,76.26666666666667,-2.157318768218176,4.884063707271757,NA,6,16
2,10-11,43.333333333333336,43,37.5,49,132.33333333333334,0.13028422471316486,NA,NA,3,16
1,NA,22.75,21,9.25,34.5,288.9166666666667,0.26405680444893787,-4.211586453311618,NA,4,16
1,10-11,28.214285714285715,26,16,37,300.12369337979095,0.828764643988233,0.3375120648099947,0.047674734082304125,42,16
3,NA,32.25,38.5,22.75,48,516.9166666666666,-1.175812187044456,0.5296609741106755,NA,4,16
3,9,53.76,44,31,74,952.19,0.5996328461650028,-0.7549155429087271,0.05638620848988265,25,17
2,8,30.714285714285715,28.5,22.5,37.75,219.9120879120879,0.7665855503816035,0.05367966870923091,0.22950192695013744,14,17
2,7,33.22222222222222,39,29,47,316.94444444444446,-1.0394576924291057,-0.31340362795941346,0.05852261555614711,9,17
2,6,46.6,53,42,55,256.3,-1.255872819119334,1.3782939149202882,NA,5,17
3,7,28.462962962962962,27,12.5,42,305.49860237596084,0.09927892661930045,-1.1831766431323238,0.06349207418474524,54,17
3,8,34.25806451612903,33,18,50,295.9978494623656,0.2823881995616061,-1.2831286722164208,0.024476408582243512,31,17
3,6,23.076923076923077,21,18.25,29,61.753846153846155,0.17356369396929036,-0.23290444353322493,0.20720909390259995,26,17
1,6,33.95,31,20,48.25,289.219696969697,0.32271791801830085,-0.9568023355450224,0.0027018227142858496,100,17
1,1-5,25.355555555555554,23,19,27,151.05252525252524,1.6551228729251268,3.1399848781227466,3.1735888278850715e-7,45,17
1,7,31.47826086956522,27,17,45,374.15108695652174,0.7782097931592622,-0.13212767701984318,4.311277706170814e-8,161,17
1,9,32,32,14.75,42.5,339.43589743589746,0.8928034346519221,1.1798584612294045,0.12506899706247512,40,17
1,8,25.341176470588234,22,14,33,212.25126050420167,1.0310571805902156,0.6495149739956347,1.1643982181670171e-5,85,17
3,10-11,NA,37,37,37,NA,NA,NA,NA,1,17
2,9,21.833333333333332,21.5,15,31,182.96666666666667,-0.1977721601093659,-0.6131061706048454,NA,6,17
2,1-5,29.5,30.5,27.75,32.25,39,-0.9197104218548594,1.8632478632478637,NA,4,17
